trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.7, 'e': 0.7232502423798425}",25,20,9.64388067313144,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.721083743026607}",20,12,11.921445888493906,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.7, 'e': 0.7189237334319262}",20,0,27.735275489653965,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.7, 'e': 0.716770194155699}",20,0,17.19668171215258,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.7, 'e': 0.7146231058160574}",20,0,11.541924445082532,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.7, 'e': 0.7124824490891918}",35,0,14.109832070250592,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
114,False,"{'a': 0.7, 'e': 0.7103482047091773}",25,0,3.69363358921232,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
115,False,"{'a': 0.7, 'e': 0.7082203534678}",20,0,3.8090459693791487,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
116,False,"{'a': 0.7, 'e': 0.7060988762143844}",30,3,37.68752921195096,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 0.703983753855621}",30,0,42.67084960074708,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.7, 'e': 0.701874967355394}",20,12,15.37897652946864,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.699772497734611}",35,0,-1.8076602682354543,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
120,False,"{'a': 0.7, 'e': 0.697676326071031}",20,0,35.07354564402851,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.7, 'e': 0.6955864334990951}",25,0,-9.775600806663833,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
122,False,"{'a': 0.7, 'e': 0.6935028012097558}",20,10,2.803606570465394,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.7, 'e': 0.6914254104503085}",20,5,24.130274764397445,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.6893542425242224}",20,8,17.69359313593189,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.6872892787909722}",20,7,-35.52035149158892,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.7, 'e': 0.6852305006658703}",20,9,14.334651015929193,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.6831778896198997}",30,9,35.44171734040567,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.6811314271795471}",20,0,23.143223094359183,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.7, 'e': 0.6790910949266368}",20,0,2.0083052862401822,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 0.6770568744981647}",20,9,16.54640315589013,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.6750287475861332}",25,0,13.163505417405785,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
132,False,"{'a': 0.7, 'e': 0.6730066959373865}",35,15,-23.799765421192294,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.7, 'e': 0.6709907013534459}",35,11,23.850325058620832,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.7, 'e': 0.6689807456903467}",25,0,-8.099317471689222,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
135,False,"{'a': 0.7, 'e': 0.6669768108584744}",20,0,25.45040103245109,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.7, 'e': 0.6649788788224019}",20,11,16.26947911670624,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 0.6629869316007274}",20,6,21.246875665137377,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.7, 'e': 0.6610009512659124}",20,13,13.324410091958772,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.6590209199441207}",25,3,27.980720732797337,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.6570468198150569}",20,0,16.17239057887329,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.7, 'e': 0.6550786331118064}",25,0,36.522181825327586,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
